,roc_fpr_kge_rf,roc_tpr_kge_rf,roc_threshold_kge_rf
226,0.23681592039800994,0.986328125,0.088
227,0.24378109452736318,0.98828125,0.086
228,0.2543283582089552,0.98828125,0.084
229,0.2632835820895522,0.990234375,0.082
230,0.27303482587064676,0.990234375,0.08
231,0.2845771144278607,0.990234375,0.078
232,0.29850746268656714,0.9921875,0.076
233,0.3100497512437811,0.9921875,0.074
234,0.31860696517412934,0.9921875,0.072
235,0.3299502487562189,0.9921875,0.07
236,0.3440796019900498,0.9921875,0.068
237,0.3590049751243781,0.9921875,0.066
238,0.37592039800995025,0.9921875,0.064
239,0.3918407960199005,0.994140625,0.062
240,0.41054726368159206,0.994140625,0.06
241,0.42845771144278605,0.99609375,0.058
242,0.44676616915422884,0.998046875,0.056
243,0.46567164179104475,0.998046875,0.054
244,0.48756218905472637,0.998046875,0.052
245,0.5120398009950249,0.998046875,0.05
246,0.5341293532338308,0.998046875,0.048
247,0.5601990049751244,0.998046875,0.046
248,0.5848756218905473,0.998046875,0.044
249,0.6149253731343284,0.998046875,0.042
250,0.6429850746268657,0.998046875,0.04
251,0.6740298507462686,0.998046875,0.038
252,0.7038805970149253,0.998046875,0.036
253,0.7339303482587065,0.998046875,0.034
254,0.7667661691542289,0.998046875,0.032
255,0.798407960199005,0.998046875,0.03
256,0.8318407960199005,0.998046875,0.028
257,0.863681592039801,0.998046875,0.026
258,0.8943283582089552,0.998046875,0.024
259,0.9201990049751244,0.998046875,0.022
260,0.939502487562189,0.998046875,0.02
261,0.9607960199004976,1.0,0.018
262,0.9731343283582089,1.0,0.016
263,0.9824875621890548,1.0,0.014
264,0.9902487562189055,1.0,0.012
265,0.9940298507462687,1.0,0.01
266,0.9980099502487563,1.0,0.008
267,0.9990049751243781,1.0,0.006
268,0.9996019900497513,1.0,0.004
269,1.0,1.0,0.002
